epoch,step,train_discriminator_accuracy,train_discriminator_loss,train_generator_loss,validation_discriminator_accuracy,validation_discriminator_loss,validation_generator_loss
266,5873,,,,0.7428571428571429,1.155548095703125,0.7237115502357483
267,5895,,,,0.6571428571428571,1.1779865026474,0.7869367599487305
268,5899,0.75,1.1983715295791626,0.8766934871673584,,,
268,5917,,,,0.6428571428571429,1.2199865579605103,0.6228793263435364
269,5939,,,,0.5714285714285714,1.2864161729812622,0.573717474937439
270,5949,0.75,1.140027642250061,0.8719365000724792,,,
270,5961,,,,0.5571428571428572,1.2794309854507446,0.5189486742019653
271,5983,,,,0.5428571428571428,1.3452701568603516,0.508282482624054
272,5999,0.875,0.9571384191513062,0.8439013361930847,,,
272,6005,,,,0.7,1.2124526500701904,1.147045612335205
273,6027,,,,0.7142857142857143,1.117411494255066,0.7234838008880615
274,6049,0.8214285714285714,1.1399394273757935,0.7003542184829712,,,
274,6049,,,,0.7285714285714285,1.1052367687225342,0.5618999004364014
275,6071,,,,0.8,1.096899390220642,1.0751649141311646
276,6093,,,,0.7571428571428571,1.1262564659118652,0.9010628461837769
277,6099,0.78125,1.1387012004852295,1.0749285221099854,,,
277,6115,,,,0.7714285714285715,1.1365878582000732,0.8459805250167847
278,6137,,,,0.7714285714285715,1.1745350360870361,0.9213922619819641
279,6149,0.6875,1.1978344917297363,0.9985700845718384,,,
279,6159,,,,0.6285714285714286,1.2039164304733276,0.6410585045814514
280,6181,,,,0.6,1.2955316305160522,0.5528752207756042
281,6199,0.75,1.1025102138519287,0.9716247916221619,,,
281,6203,,,,0.7142857142857143,1.1545777320861816,0.7327399253845215
282,6225,,,,0.6571428571428571,1.1632205247879028,0.8199968934059143
283,6247,,,,0.9571428571428572,1.0298653841018677,0.874942421913147
284,6249,0.8125,1.1182975769042969,0.9883613586425781,,,
284,6269,,,,0.7428571428571429,1.1482502222061157,0.9013402462005615
285,6291,,,,0.8142857142857143,1.1092803478240967,0.9235575795173645
286,6299,0.75,1.179628849029541,0.797450602054596,,,
286,6313,,,,0.8142857142857143,1.0944998264312744,0.9891859889030457
287,6335,,,,0.7571428571428571,1.2075557708740234,0.8788449168205261
288,6349,0.90625,0.5854491591453552,1.0162153244018555,,,
